"snail_ID","Axis1","Axis2","Axis3","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG240",7.43187302015555,-11.8872876368372,5.42412652517374,"Crab","female",46.94879549,"Crab","C_F","2"
"ANG241",6.94826501388219,-7.57175290633738,3.68582444538284,"Crab","female",48.13024487,"Crab","C_F","2"
"ANG243",58.5047164462136,13.0902799305485,-2.04996172056769,"Crab","female",47.38743443,"Crab","C_F","3"
"ANG244",6.74535661453599,-5.29338717849183,-4.28798813028952,"Crab","female",45.03195482,"Crab","C_F","2"
"ANG245",52.1910308220912,10.189402578374,-1.18918466276194,"Crab","female",45.61365816,"Crab","C_F","3"
"ANG247",8.10902483847906,-6.02333270052247,3.92352617002851,"Crab","female",46.24462926,"Crab","C_F","2"
"ANG249",5.71750368928923,-8.55911722828588,-0.401689321830142,"Crab","female",45.84052899,"Crab","C_F","2"
"ANG251",8.60615864675312,-14.2906279411647,-7.85480692169016,"Crab","female",8.989725294,"Crab","C_F","2"
"ANG254",9.54183710344748,-8.61993998991274,-3.5577565107874,"Crab","female",8.520774006,"Crab","C_F","2"
"ANG255",6.3504215859572,-7.27579093860846,1.64272341380184,"Crab","female",5.492682088,"Crab","C_F","2"
"ANG256",8.33831963179329,-13.2393476386703,9.70500471554066,"Crab","female",6.473349333,"Crab","C_F","2"
"ANG259",8.7781803439333,-15.5592909297978,-2.87716277531681,"Crab","female",4.916443827,"Crab","C_F","2"
"ANG260",29.3175356199555,6.07403305699923,-0.146168523750942,"Crab","female",4.707269737,"Crab","C_F",NA
"ANG261",7.61706826015969,-9.81689678625563,2.25114477171198,"Crab","female",3.935771682,"Crab","C_F","2"
"ANG262",7.03869988001284,-3.68805785809745,2.29691965830951,"Crab","female",4.384085574,"Crab","C_F","2"
"ANG263",7.48867853086667,-5.11849192888058,-1.45232272818398,"Crab","female",6.094104292,"Crab","C_F","2"
"ANG264",52.7355547564399,13.5553190007154,-3.00375358965043,"Crab","female",2.953925008,"Crab","C_F","3"
"ANG266",7.56055695421801,-12.7220912500498,-4.73870075900444,"Crab","female",1.119892852,"Crab","C_F","2"
"ANG268",8.01655483034396,-2.51800283775509,2.00064412046909,"Crab","female",1.269946419,"Crab","C_F","2"
"ANG269",9.00074823805355,-13.3817825440795,-0.055585054224795,"Crab","female",2.71424457,"Crab","C_F","2"
"ANG270",11.5716540485972,-7.80091602228065,0.554990720932416,"Crab","female",1.731621236,"Crab","C_F","2"
"ANG271",7.01014554152209,-14.7396281799136,-5.95953116626334,NA,"female",69.75002883,"Hybrid",NA,"2"
"ANG272",7.37931293485051,-12.3315150847568,0.685990905241549,NA,"female",69.92639328,"Hybrid",NA,"2"
"ANG273",6.61511712048956,-9.99191203744234,-2.53875932007346,NA,"female",71.80824826,"Hybrid",NA,"2"
"ANG275",-47.5883802020967,-31.7175401505548,-10.8221826272146,"Crab","female",64.67001437,"Crab","C_F","1"
"ANG277",54.7838905882174,12.7009645906519,-1.49734336044383,"Crab","female",67.53362738,"Crab","C_F","3"
"ANG278",10.7012898760115,-6.02594260553746,-1.05572371019695,NA,"female",69.04219101,"Hybrid",NA,"2"
"ANG288",57.3015047758396,14.9102767510971,-3.63773493960972,NA,"female",72.1370051,"Hybrid",NA,"3"
"ANG295",7.40370495502856,-8.23705330449052,-5.15307375283202,NA,"female",72.24460102,"Hybrid",NA,"2"
"ANG308",1.83772527353386,5.49741378485902,12.1573537828484,NA,"female",85.84161558,"Hybrid",NA,"2"
"ANG315",50.4847452196281,11.3625499253165,-1.4040432723717,NA,"female",86.10859913,"Hybrid",NA,"3"
"ANG317",-1.44341989310322,12.5541856028087,16.1569222851203,NA,"female",86.17066926,"Hybrid",NA,"2"
"ANG318",56.9830309326157,12.2918052938877,-2.39092291931324,NA,"female",86.29391237,"Hybrid",NA,"3"
"ANG320",57.975492719362,12.7375623494368,-0.158192829373299,NA,"female",86.49310376,"Hybrid",NA,"3"
